MRTime,Longitude,Latitude,RNCID_1,CellID_1,SignalLevel_1,RSSI_1,RNCID_2,CellID_2,SignalLevel_2,RSSI_2,RNCID_3,CellID_3,SignalLevel_3,RSSI_3,RNCID_4,CellID_4,SignalLevel_4,RSSI_4,RNCID_5,CellID_5,SignalLevel_5,RSSI_5,RNCID_6,CellID_6,SignalLevel_6,RSSI_6,RNCID_7,CellID_7,SignalLevel_7,RSSI_7,LinkNum,id_c5ombine,Longitude_eng,Latitude_eng,lo,la
1510000000000.0,121.2158051,31.28950141,6188,20865,4,-87,6182,13698,3,-93,6188.0,27361.0,4.0,-89.0,6182.0,41139.0,4.0,-89.0,6188.0,27378.0,3.0,-91.0,6182.0,41594.0,3.0,-91.0,0.0,-1.0,3.0,-97.0,7,27053,121.205655,31.277705,0.010150100000004159,0.011796409999998758
1510000000000.0,121.2158051,31.28950141,6188,20865,4,-87,6182,13698,3,-93,6188.0,27361.0,4.0,-89.0,6182.0,41139.0,4.0,-89.0,6188.0,27378.0,3.0,-91.0,6182.0,41594.0,3.0,-91.0,6188.0,25105.0,3.0,-93.0,7,27053,121.205655,31.277705,0.010150100000004159,0.011796409999998758
1510000000000.0,121.2158051,31.28950141,6188,20865,4,-85,6182,13698,4,-89,6188.0,27361.0,4.0,-85.0,6182.0,41139.0,4.0,-89.0,6188.0,27378.0,4.0,-87.0,6182.0,41594.0,4.0,-87.0,6188.0,25105.0,3.0,-93.0,7,27053,121.205655,31.277705,0.010150100000004159,0.011796409999998758
1510000000000.0,121.2158051,31.28950141,6188,20865,4,-85,6182,13698,4,-89,6188.0,27361.0,4.0,-85.0,6182.0,41139.0,4.0,-89.0,6188.0,27378.0,4.0,-87.0,6182.0,41594.0,4.0,-85.0,6188.0,25105.0,3.0,-91.0,7,27053,121.205655,31.277705,0.010150100000004159,0.011796409999998758
1510000000000.0,121.2158051,31.28950141,6188,20865,4,-87,6182,13698,3,-91,6188.0,27361.0,4.0,-87.0,6182.0,41139.0,4.0,-87.0,6188.0,27378.0,4.0,-87.0,6182.0,41594.0,4.0,-85.0,6188.0,25105.0,3.0,-91.0,7,27053,121.205655,31.277705,0.010150100000004159,0.011796409999998758
1510000000000.0,121.2158051,31.28950141,6188,20865,4,-89,6182,13698,3,-91,6188.0,27361.0,4.0,-87.0,6182.0,41139.0,4.0,-87.0,6188.0,27378.0,4.0,-87.0,6182.0,41594.0,4.0,-85.0,6188.0,25105.0,3.0,-91.0,7,27053,121.205655,31.277705,0.010150100000004159,0.011796409999998758
1510000000000.0,121.2158051,31.28950141,6188,20865,3,-91,6188,27361,4,-87,6182.0,41139.0,4.0,-87.0,6188.0,27378.0,4.0,-87.0,6182.0,41594.0,4.0,-87.0,6188.0,25105.0,3.0,-91.0,6188.0,27395.0,3.0,-93.0,7,27053,121.205655,31.277705,0.010150100000004159,0.011796409999998758
1510000000000.0,121.2158051,31.28950141,6188,20865,3,-91,6188,27361,4,-89,6182.0,41139.0,4.0,-87.0,6188.0,27378.0,4.0,-87.0,6182.0,41594.0,4.0,-89.0,6188.0,25105.0,3.0,-91.0,6188.0,27394.0,3.0,-93.0,7,27053,121.205655,31.277705,0.010150100000004159,0.011796409999998758
1510000000000.0,121.2158051,31.28950141,6188,25105,3,-91,6188,27361,4,-89,6182.0,41139.0,4.0,-87.0,6188.0,27378.0,4.0,-87.0,6182.0,41594.0,4.0,-89.0,6188.0,25105.0,3.0,-91.0,6188.0,27394.0,3.0,-93.0,7,31293,121.211975,31.276588,0.003830100000001835,0.012913409999999459
1510000000000.0,121.2158051,31.28950141,6188,25105,4,-83,6182,41139,4,-87,6188.0,27378.0,4.0,-87.0,6188.0,27394.0,3.0,-93.0,6188.0,20865.0,3.0,-91.0,0.0,-1.0,3.0,-93.0,-999.0,-999.0,-999.0,-999.0,6,31293,121.211975,31.276588,0.003830100000001835,0.012913409999999459
